DateTime,P#,L#,LotCount,PartsMade,Reject1,Reject2,Reject3,Reject4,Reject5,Reject6,Reject7,Reject8,Reject9,Reject10,Reject11,Reject12,Reject13,Reject14,Reject15,Reject16,Reject17,Reject18
12/10/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/10/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/11/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/11/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/11/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/11/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/11/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/11/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/11/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/11/2022,123456,lotno,10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
